,PageName,VisualName,Measure,ColumnName,DimensionName,VisualTitle,ReportName,LoadTime,isMeasureUsedInVisual,hasDimension,Query
23,Summary Detailed Logs,tableEx,CurrentDuration,MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3),x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]"
24,Summary Detailed Logs,tableEx,StartTime(MAX),MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3),x,1,0,"SELECT {[Measures].[StartTime(MAX)]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]"
25,Summary Detailed Logs,card,CurrentDatePST,,,,Refresh Tracker (3),x,1,0,
26,Summary Detailed Logs,pivotTable,DateShow,StageName,pipelineexecutionlogs,,Refresh Tracker (3),x,1,0,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[pipelineexecutionlogs].[StageName].children} ON 1 FROM [Model]"
27,Summary Detailed Logs,pivotTable,DateShow,Mappedcolumns,Dim2,,Refresh Tracker (3),x,1,0,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[Dim2].[Mappedcolumns].children} ON 1 FROM [Model]"
28,Pipeline Logs,card,CurrentDatePST,,,,Refresh Tracker (3),x,1,0,
0,Read Me,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
1,Ingestion Pipeline Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
2,Ingestion Pipeline Logs,tableEx,LastTimeRefresh(MAX) Ingestion(PST),StreamName,meta PipelineExecutionLogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[LastTimeRefresh(MAX) Ingestion(PST)]} ON 0 ,NON EMPTY{[meta PipelineExecutionLogs].[StreamName].children} ON 1 FROM [Model]"
3,Ingestion Pipeline Logs,tableEx,LastTimeRefresh(MAX) Ingestion(PST),PipelineName,meta PipelineExecutionLogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[LastTimeRefresh(MAX) Ingestion(PST)]} ON 0 ,NON EMPTY{[meta PipelineExecutionLogs].[PipelineName].children} ON 1 FROM [Model]"
4,Ingestion Pipeline Logs,tableEx,LastTimeRefresh(MAX) Ingestion(PST),Stage Name,meta PipelineExecutionLogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[LastTimeRefresh(MAX) Ingestion(PST)]} ON 0 ,NON EMPTY{[meta PipelineExecutionLogs].[Stage Name].children} ON 1 FROM [Model]"
5,Ingestion Pipeline Backup Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
6,Summary Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
7,Summary Logs,tableEx,CurrentStatus(MAX),Mappedcolumns,pipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentStatus(MAX)]} ON 0 ,NON EMPTY{[pipelineexecutionlogs].[Mappedcolumns].children} ON 1 FROM [Model]"
8,Summary Logs,tableEx,CombineDate,Mappedcolumns,pipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[pipelineexecutionlogs].[Mappedcolumns].children} ON 1 FROM [Model]"
9,Pipeline Backup Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
10,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,PipelineName,backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[ColorCode_BackupPipelineExecutionlogs]} ON 0 ,NON EMPTY{[backuppipelineexecutionlogs].[PipelineName].children} ON 1 FROM [Model]"
11,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,StageName,backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[ColorCode_BackupPipelineExecutionlogs]} ON 0 ,NON EMPTY{[backuppipelineexecutionlogs].[StageName].children} ON 1 FROM [Model]"
12,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,MappedColumn,backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[ColorCode_BackupPipelineExecutionlogs]} ON 0 ,NON EMPTY{[backuppipelineexecutionlogs].[MappedColumn].children} ON 1 FROM [Model]"
13,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,RefreshTime(PST),backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[ColorCode_BackupPipelineExecutionlogs]} ON 0 ,NON EMPTY{[backuppipelineexecutionlogs].[RefreshTime(PST)].children} ON 1 FROM [Model]"
14,Dataset Logs,card,CurrentDatePST,,,,Refresh Tracker (3) - Copy - for testing,x,1,0,
15,Dataset Logs,tableEx,CurrentDuration,EndTime(PST),datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[datasetrefreshhistory].[EndTime(PST)].children} ON 1 FROM [Model]"
16,Dataset Logs,tableEx,CurrentDuration,StartTime(PST),datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3) - Copy - for testing,x,1,0,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[datasetrefreshhistory].[StartTime(PST)].children} ON 1 FROM [Model]"
